,count
International Movies,2752
Dramas,2426
Comedies,1674
International TV Shows,1349
Documentaries,869
Action & Adventure,859
TV Dramas,762
Independent Movies,756
Children & Family Movies,641
Romantic Movies,616
Thrillers,577
TV Comedies,573
Crime TV Shows,469
Kids' TV,448
Docuseries,394
Music & Musicals,375
Romantic TV Shows,370
Horror Movies,357
Stand-Up Comedy,343
Reality TV,255
British TV Shows,252
Sci-Fi & Fantasy,243
Sports Movies,219
Anime Series,174
Spanish-Language TV Shows,173
TV Action & Adventure,167
Korean TV Shows,151
Classic Movies,116
LGBTQ Movies,102
TV Mysteries,98
